region_code,council_code,name_sw,name_en,council_type
SINGIDA,SINGIDA_MANYONI_DC,Halmashauri ya Wilaya ya Manyoni,Manyoni District Council,DISTRICT
SINGIDA,SINGIDA_ITIGI_DC,Halmashauri ya Wilaya ya Itigi,Itigi District Council,DISTRICT
SINGIDA,SINGIDA_IKUNGI_DC,Halmashauri ya Wilaya ya Ikungi,Ikungi District Council,DISTRICT
SINGIDA,SINGIDA_MKALAMA_DC,Halmashauri ya Wilaya ya Mkalama,Mkalama District Council,DISTRICT
TABORA,TABORA_NZEGA_TC,Halmashauri ya Mji wa Nzega,Nzega Town Council,TOWN
TABORA,TABORA_NZEGA_DC,Halmashauri ya Wilaya ya Nzega,Nzega District Council,DISTRICT
TABORA,TABORA_IGUNGA_DC,Halmashauri ya Wilaya ya Igunga,Igunga District Council,DISTRICT
TABORA,TABORA_UYUI_DC,Halmashauri ya Wilaya ya Uyui,Uyui District Council,DISTRICT
TABORA,TABORA_URAMBO_DC,Halmashauri ya Wilaya ya Urambo,Urambo District Council,DISTRICT
TABORA,TABORA_SIKONGE_DC,Halmashauri ya Wilaya ya Sikonge,Sikonge District Council,DISTRICT
TABORA,TABORA_TABORA_MC,Halmashauri ya Manispaa ya Tabora,Tabora Municipal Council,MUNICIPAL
TABORA,TABORA_KALIUA_DC,Halmashauri ya Wilaya ya Kaliua,Kaliua District Council,DISTRICT
RUKWA,RUKWA_KALAMBO_DC,Halmashauri ya Wilaya ya Kalambo,Kalambo District Council,DISTRICT
RUKWA,RUKWA_SUMBAWANGA_DC,Halmashauri ya Wilaya ya Sumbawanga,Sumbawanga District Council,DISTRICT
RUKWA,RUKWA_SUMBAWANGA_MC,Halmashauri ya Manispaa ya Sumbawanga,Sumbawanga Municipal Council,MUNICIPAL
RUKWA,RUKWA_NKASI_DC,Halmashauri ya Wilaya ya Nkasi,Nkasi District Council,DISTRICT
KIGOMA,KIGOMA_KIBONDO_DC,Halmashauri ya Wilaya ya Kibondo,Kibondo District Council,DISTRICT
KIGOMA,KIGOMA_KASULU_DC,Halmashauri ya Wilaya ya Kasulu,Kasulu District Council,DISTRICT
KIGOMA,KIGOMA_KASULU_TC,Halmashauri ya Mji wa Kasulu,Kasulu Town Council,TOWN
KIGOMA,KIGOMA_KIGOMA_DC,Halmashauri ya Wilaya ya Kigoma,Kigoma District Council,DISTRICT
